StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24
2021-12-07 14:02:31,2021-12-07 14:05:26,IP Address,128.237.82.10,100,174,True,2021-12-07 14:05:26,R_22K6hKvV7kEH9Co,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,For leisure,I prefer taking the bus,Unavailability,3: Partially safe,3: It’s slightly expensive,No,Yes,7,,,Male,18-25,"No "," < 1 mile",15213,"$25,000 to 49,999 ","Yes ","Walk "
2021-12-07 14:05:11,2021-12-07 14:06:51,IP Address,128.237.82.7,100,100,True,2021-12-07 14:06:51,R_1M4y848FncevQig,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"To travel short distances/convenience,For leisure,Other","I prefer taking the bus,I just never got the chance to try it out, but I am inclined to soon","Payment issues,Insufficient battery ",3: Partially safe,3: It’s slightly expensive,No,,,Yes,Yes,Male,18-25,"No "," < 1 mile",15213,"$50,000 to 74,999","Yes ","Walk ,Public transportation"
2021-12-07 14:05:45,2021-12-07 14:07:09,IP Address,128.237.82.11,100,84,True,2021-12-07 14:07:10,R_1Ijbi9PNTLySyw6,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,2,To travel short distances/convenience,I think scooters are too expensive,"Payment issues,Damaged scooter ,Insufficient battery ,Vague instructions ,Couldn't unlock the scooter ,Unavailability",3: Partially safe,5: It’s very expensive,"No, but I ride SPIN scooters",,,Yes,No,Male,18-25,"No ",1.1 - 2 miles,15213,"$100,000 to 149,999","Yes ",Public transportation
2021-12-07 13:58:59,2021-12-07 14:08:18,IP Address,107.77.223.65,100,559,True,2021-12-07 14:08:19,R_SPJOLqhs9prhksh,,,,,40.8621978759765625,-73.89019775390625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,Commuting to work,"I do not think scooters are safe ",Unavailability,2: Minimally safe,2: It’s fairly priced,Yes,,,No,Yes,Female,30-35,"No "," < 1 mile",15213,"$100,000 to 149,999","Yes ","Walk ,Car"
2021-12-07 14:05:57,2021-12-07 14:08:41,IP Address,172.58.185.250,100,163,True,2021-12-07 14:08:41,R_9B67zFSCJtLPkWt,,,,,40.43389892578125,-79.999603271484375,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,"Commuting to school,To travel short distances/convenience",Other,"Payment issues,Insufficient battery ",4: Acceptably safe,4: It’s expensive,"No, but I ride SPIN scooters",Yes,9,,,Male,18-25,"No "," < 1 mile",15213,"$50,000 to 74,999","Yes ","Walk "
2021-12-07 14:06:23,2021-12-07 14:09:41,IP Address,128.237.82.12,100,197,True,2021-12-07 14:09:41,R_1H7fbEM2LvCLXRF,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I just never got the chance to try it out, but I am inclined to soon","Vague instructions ",3: Partially safe,2: It’s fairly priced,No,Yes,1,,,Male,18-25,"No ",1.1 - 2 miles,15213,"$10,000 to $24,999","Yes ",Public transportation
2021-12-07 14:11:20,2021-12-07 14:13:45,IP Address,128.237.82.15,100,144,True,2021-12-07 14:13:45,R_2VO8dcHzKL2rfAB,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer walking  ","Vague instructions ",1: Not very safe,5: It’s very expensive,No,Yes,4,,,Female,18-25,"No ",1.1 - 2 miles,15232,"$0 ","Yes ","Walk ,Car"
2021-12-07 14:12:43,2021-12-07 14:14:26,IP Address,128.237.82.1,100,102,True,2021-12-07 14:14:26,R_3qKZMmA93fhqFve,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,1,Commuting to school,Other,Payment issues,1: Not very safe,5: It’s very expensive,No,,,No,Yes,Male,18-25,"No ",1.1 - 2 miles,15232,Prefer not to answer,"Yes ",Public transportation
2021-12-07 14:13:02,2021-12-07 14:14:35,IP Address,128.237.82.3,100,92,True,2021-12-07 14:14:35,R_6hZy4U1WqWhFMYx,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Often,2,"Commuting to school,To travel short distances/convenience",I think scooters are too expensive,Unavailability,4: Acceptably safe,4: It’s expensive,No,Yes,9,,,Male,18-25,"No ",2.1 - 5 miles,15217,"$1 to $9,999","Yes ",Public transportation
2021-12-07 14:11:44,2021-12-07 14:14:42,IP Address,128.237.82.12,100,178,True,2021-12-07 14:14:42,R_3htJzbnCFoQECpM,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I just never got the chance to try it out, but I am inclined to soon",Payment issues,3: Partially safe,3: It’s slightly expensive,No,,,No,No,Female,18-25,"No ",1.1 - 2 miles,15232,"$25,000 to 49,999 ","Yes ","Walk ,Car,Public transportation"
2021-12-07 14:11:42,2021-12-07 14:15:08,IP Address,128.237.82.11,100,206,True,2021-12-07 14:15:09,R_yEiWehvsisNfdHX,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I do not think scooters are safe ",Unavailability,3: Partially safe,4: It’s expensive,No,Yes,3,,,Female,18-25,"No ",1.1 - 2 miles,15232,"$1 to $9,999","Yes ",Car
2021-12-07 14:12:15,2021-12-07 14:15:16,IP Address,128.237.82.15,100,180,True,2021-12-07 14:15:16,R_0k786IhemieOUFj,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,0,To travel short distances/convenience,"I do not think scooters are safe ","Damaged scooter ",2: Minimally safe,1: It’s cheap,"No, but I ride SPIN scooters",,,No,Yes,Female,18-25,"No ",1.1 - 2 miles,15206,"$10,000 to $24,999","Yes ",Public transportation
2021-12-07 14:12:15,2021-12-07 14:15:28,IP Address,107.77.226.118,100,192,True,2021-12-07 14:15:28,R_2ePiGirj7ooLv9I,,,,,40.8621978759765625,-73.89019775390625,anonymous,EN,No,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I just never got the chance to try it out, but I am inclined to soon","Vague instructions ",1: Not very safe,2: It’s fairly priced,No,,,No,No,Female,18-25,"No ",1.1 - 2 miles,15203,Prefer not to answer,"Yes ",Public transportation
2021-12-07 14:11:16,2021-12-07 14:15:43,IP Address,172.58.196.205,100,267,True,2021-12-07 14:15:43,R_1j9EQJV6d4kHQ5S,,,,,42.39599609375,-83.23509979248046875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I prefer taking the bus,I prefer driving/being driven,I prefer walking  ",Unavailability,2: Minimally safe,4: It’s expensive,No,Yes,4,,,Female,18-25,"No ",1.1 - 2 miles,15232,"$150,000 and greater","Yes ","Walk ,Car,Public transportation"
2021-12-07 14:13:39,2021-12-07 14:16:09,IP Address,174.203.131.123,100,150,True,2021-12-07 14:16:09,R_xAu4JVvwPyhIowx,,,,,40.4412994384765625,-79.25330352783203125,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Never,0,I don't use scooters,Other,"Payment issues,Damaged scooter ,Insufficient battery ,Vague instructions ,Couldn't unlock the scooter ",2: Minimally safe,,No,No,0,,,Female,25-30,"No ",1.1 - 2 miles,15232,"$1 to $9,999","Yes ","Walk ,Bike,Car,Public transportation"
2021-12-07 14:11:19,2021-12-07 14:16:13,IP Address,128.237.82.7,100,293,True,2021-12-07 14:16:13,R_2R4VzBGjLtfPHQ3,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,No,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I do not think scooters are safe ,I think scooters are too expensive",Payment issues,1: Not very safe,5: It’s very expensive,No,,,No,No,Female,25-30,Prefer not to answer,1.1 - 2 miles,15219,Prefer not to answer,"Yes ",Public transportation
2021-12-07 14:15:23,2021-12-07 14:16:26,IP Address,128.237.82.7,100,62,True,2021-12-07 14:16:26,R_2asP31XENUgzBgf,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Very Frequently,2,Commuting to school,I prefer taking the bus,Payment issues,2: Minimally safe,4: It’s expensive,No,,,Yes,Yes,Choose not to respond,25-30,"No ",1.1 - 2 miles,15217,"$1 to $9,999","No ",Bike
2021-12-07 14:14:53,2021-12-07 14:16:27,IP Address,172.58.207.72,100,93,True,2021-12-07 14:16:27,R_3Gg0kzxR2zvn0gk,,,,,40.0605926513671875,-75.144500732421875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,Other,Unavailability,5: Perfectly safe,3: It’s slightly expensive,No,,,No,Yes,Male,18-25,"No ",1.1 - 2 miles,15214,"$50,000 to 74,999","Yes ",Public transportation
2021-12-07 14:13:42,2021-12-07 14:16:58,IP Address,128.237.82.3,100,195,True,2021-12-07 14:16:58,R_8IzyKs3AzvJPV61,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,Commuting to school,"I prefer taking the bus,I prefer walking  ,I do not think scooters are safe ,I think scooters are too expensive",Unavailability,2: Minimally safe,2: It’s fairly priced,No,No,0,,,Male,25-30,"No ",1.1 - 2 miles,15232,"$1 to $9,999","Yes ",Bike
2021-12-07 14:15:26,2021-12-07 14:17:10,IP Address,128.237.82.14,100,103,True,2021-12-07 14:17:10,R_pQ6GPchN1C0ZiFz,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,No,I have seen a person (or people) on an electric scooter in the street,Sometimes,3,"Commuting to school,Commuting to work","I prefer taking the bus,I prefer driving/being driven","Payment issues,Damaged scooter ,Insufficient battery ",1: Not very safe,2: It’s fairly priced,Yes,Yes,3,,,Male,25-30,"No ",2.1 - 5 miles,15213,"$25,000 to 49,999 ","Yes ","Walk "
2021-12-07 14:14:36,2021-12-07 14:17:21,IP Address,128.237.82.2,100,164,True,2021-12-07 14:17:21,R_2pMlut5rPiWw0ey,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,"I prefer taking the bus,I prefer driving/being driven,I prefer walking  ",Unavailability,2: Minimally safe,2: It’s fairly priced,No,,,No,No,Female,25-30,"No ",1.1 - 2 miles,15127,"$10,000 to $24,999","Yes ","Walk ,Bike,Car"
2021-12-07 14:13:51,2021-12-07 14:17:23,IP Address,128.237.82.3,100,212,True,2021-12-07 14:17:24,R_3QWyiw6kZgtw9Bu,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer taking the bus,I prefer driving/being driven,I just never got the chance to try it out, but I am inclined to soon",Unavailability,4: Acceptably safe,2: It’s fairly priced,No,Yes,0,,,Female,30-35,"No ",2.1 - 5 miles,15206,"$50,000 to 74,999","Yes ",Car
2021-12-07 14:16:40,2021-12-07 14:18:23,IP Address,172.58.207.72,100,102,True,2021-12-07 14:18:23,R_2b1tOfzo6DrFnZS,,,,,40.0605926513671875,-75.144500732421875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,1,For leisure,I prefer taking the bus,Payment issues,2: Minimally safe,4: It’s expensive,Yes,No,4,,,Female,18-25,"No ",1.1 - 2 miles,15232,"$25,000 to 49,999 ","Yes ","Walk ,Public transportation"
2021-12-07 14:17:11,2021-12-07 14:18:45,IP Address,107.77.225.72,100,94,True,2021-12-07 14:18:46,R_3F3Y1O38AftpVMn,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"Commuting to school,To travel short distances/convenience,For leisure",Other,Payment issues,3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",,,No,Yes,Female,18-25,"No ",1.1 - 2 miles,15232,"$10,000 to $24,999","Yes ","Walk ,Public transportation"
2021-12-07 14:17:58,2021-12-07 14:20:15,IP Address,174.249.18.122,100,137,True,2021-12-07 14:20:16,R_3MlJyKFzWG5BJEJ,,,,,40.4322052001953125,-80.1020965576171875,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,"Commuting to school,To travel short distances/convenience",I think scooters are too expensive,"Damaged scooter ,Insufficient battery ",3: Partially safe,4: It’s expensive,"No, but I ride SPIN scooters",,,No,No,Male,18-25,"No ",1.1 - 2 miles,15219,"$10,000 to $24,999","Yes ",Public transportation
2021-12-07 14:18:34,2021-12-07 14:20:23,IP Address,128.237.82.5,100,108,True,2021-12-07 14:20:23,R_2Svho4FbBrT6LqA,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,"To travel short distances/convenience,For leisure",I think scooters are too expensive,Unavailability,4: Acceptably safe,4: It’s expensive,No,Yes,2,,,Female,25-30,"No "," < 1 mile",15213,"$1 to $9,999","Yes ","Walk ,Public transportation"
2021-12-07 14:18:01,2021-12-07 14:20:43,IP Address,128.237.82.3,100,161,True,2021-12-07 14:20:43,R_1my0bPN4hbkP4AN,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,I prefer taking the bus,Unavailability,4: Acceptably safe,2: It’s fairly priced,No,Yes,9,,,Female,25-30,"No ",1.1 - 2 miles,15213,"$1 to $9,999","Yes ",Public transportation
2021-12-07 14:17:47,2021-12-07 14:21:38,IP Address,128.237.82.15,100,230,True,2021-12-07 14:21:38,R_1G0t9r9Sip96biF,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer taking the bus,I think scooters are too expensive",Payment issues,1: Not very safe,5: It’s very expensive,No,Yes,5,,,Male,25-30,"No ",1.1 - 2 miles,15206,Prefer not to answer,"Yes ",Public transportation
2021-12-07 14:17:57,2021-12-07 14:21:39,IP Address,128.237.82.10,100,222,True,2021-12-07 14:21:39,R_3M4HeqUivTOrsca,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I think scooters are too expensive,Payment issues,4: Acceptably safe,5: It’s very expensive,No,,,Yes,No,Male,25-30,"No ",1.1 - 2 miles,15206,"$0 ","Yes ",Public transportation
2021-12-07 14:20:47,2021-12-07 14:23:33,IP Address,128.237.82.15,100,165,True,2021-12-07 14:23:33,R_2qreActxa9Rda2u,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,No,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer driving/being driven,I do not think scooters are safe ",Unavailability,1: Not very safe,2: It’s fairly priced,No,,,No,No,Female,18-25,Prefer not to answer,1.1 - 2 miles,15206,"$75,000 to 99,999","Yes ",Car
2021-12-07 14:20:56,2021-12-07 14:23:49,IP Address,128.237.82.12,100,173,True,2021-12-07 14:23:49,R_1hKDaZXQ5TrM6sX,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Sometimes,1,Commuting to school,Other,Unavailability,3: Partially safe,5: It’s very expensive,Yes,,,Yes,No,Male,18-25,"No ",> 10 miles,15213,"$75,000 to 99,999","Yes ",Public transportation
2021-12-07 14:20:53,2021-12-07 14:23:56,IP Address,107.127.7.50,100,183,True,2021-12-07 14:23:56,R_3qJLUTOhyIkkiyv,,,,,42.4651947021484375,-83.37129974365234375,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,I prefer taking the bus,Payment issues,3: Partially safe,5: It’s very expensive,No,Yes,3,,,Male,18-25,"No ",2.1 - 5 miles,15219,"$10,000 to $24,999","Yes ",Public transportation
2021-12-07 14:23:26,2021-12-07 14:26:51,IP Address,128.2.149.7,100,204,True,2021-12-07 14:26:52,R_2Vl5kKtaCGLpvsU,,,,,40.4394989013671875,-79.94300079345703125,anonymous,EN,Yes,Carnegie Mellon University,No,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,I think scooters are too expensive,Unavailability,2: Minimally safe,4: It’s expensive,No,,,No,No,Male,18-25,"No "," < 1 mile",15289,Prefer not to answer,"Yes ","Walk "
2021-12-07 14:25:45,2021-12-07 14:30:08,IP Address,128.237.82.11,100,262,True,2021-12-07 14:30:08,R_1Nt7JyU40ECv9a5,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Rarely,0,Commuting to work,I prefer taking the bus,"Vague instructions ",2: Minimally safe,3: It’s slightly expensive,No,,,No,No,Male,18-25,"No "," < 1 mile",18902,"$1 to $9,999","Yes ","Walk "
2021-12-07 14:28:58,2021-12-07 14:31:14,IP Address,128.237.82.12,100,135,True,2021-12-07 14:31:14,R_2rl1DKuSjQVWkpQ,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have seen a person (or people) on an electric scooter in the street,Never,0,I don't use scooters,"I just never got the chance to try it out, but I am inclined to soon","Vague instructions ",3: Partially safe,3: It’s slightly expensive,Yes,,,No,No,Female,25-30,"No ",1.1 - 2 miles,15217,"$25,000 to 49,999 ","Yes ","Car,Public transportation"
2021-12-07 14:30:49,2021-12-07 14:32:20,IP Address,128.237.82.11,100,90,True,2021-12-07 14:32:20,R_2WGen5qdOOdjN3I,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,No,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,0,To travel short distances/convenience,"I prefer walking  ","Damaged scooter ",2: Minimally safe,4: It’s expensive,No,No,0,,,Female,18-25,"No ",1.1 - 2 miles,151217,"$1 to $9,999","Yes ","Walk ,Public transportation"
2021-12-07 14:31:25,2021-12-07 14:32:40,IP Address,128.237.82.6,100,75,True,2021-12-07 14:32:40,R_3hbiEGpCIodJz7d,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have ridden one (or more) of these scooters.,Rarely,1,To travel short distances/convenience,"I prefer driving/being driven,I prefer walking  ,I do not think scooters are safe ","Damaged scooter ",2: Minimally safe,3: It’s slightly expensive,"No, but I ride SPIN scooters",Yes,5,,,Female,18-25,"No "," < 1 mile",15213,"$150,000 and greater","Yes ","Walk "
2021-12-07 14:31:00,2021-12-07 14:33:19,IP Address,128.237.82.11,100,138,True,2021-12-07 14:33:19,R_RrSI40tommzWjVT,,,,,40.4441986083984375,-79.9557037353515625,anonymous,EN,Yes,Carnegie Mellon University,Yes,I have not had any experiences with electric scooters,Never,0,I don't use scooters,"I prefer walking  ",Unavailability,3: Partially safe,3: It’s slightly expensive,No,,,No,No,Non-binary,18-25,"No ",1.1 - 2 miles,15224,"$1 to $9,999","Yes ","Walk "
